adjust_temp,ApplStandard,Brand,Cap,Country,Decl Stand Heat,Depth,Gross Store Cap,Heating Elements,Height,Label-MEPSNZ,Model No,Family Name,N-Standard,N-Standard_MEPS,Sold_in,Submit_ID,SubmitStatus,tot_expan_valves,tot_feed_tanks,tot_hotwat_fittings,TPR Valves,Type,vent_displacement,Width,ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL
False,AS/NZS 4692.2:2005,MID-WAY PLUS,Not Applicable - Application for MEPS in NZ Only,New Zealand,1.34,,180.0,,,MEPS-NZ2003-electric,TR 180 550 35,,NZ 4606.1,NZS 4606.1-1989,New Zealand,30081,Approved,0,0,0,1,Vented/Non-displacement,,,,,,Unavailable,,
True,AS/NZS 4692.2:2005,ECONOMAX,Not Applicable - Application for MEPS in NZ Only,New Zealand,0.36,,9.0,,,MEPS-NZ2003-electric,US00934,,NZ 4606.1,NZS 4606.1-1989,New Zealand,32762,Approved,0,0,0,0,Vented/Non-displacement,,,,,,Unavailable,,
True,AS/NZS 4692.2:2005,SE,80,China,1.7,560.0,200.0,,1660.0,MEPS-NZ2003-electric,SE 200  PASHW-010-200LD,,AS/NZS 4692.1:2005,AS/NZS 4692.1 (2005),New Zealand,36678,Approved,0,0,0,1,Heat Exchange,,560.0,,,Class 3,Unavailable,,
True,AS/NZS 4692.2:2005,GREENGLO,250,Turkey,2.2,,300.0,,,MEPS-NZ2003-electric,GreenGlo 300S,,AS/NZS 4692.1:2005,AS/NZS 4692.1 (2005),New Zealand,37404,Approved,0,0,1,1,Heat Exchange,,,,,Class 3,Unavailable,,
True,AS/NZS 4692.2:2005,GREENGLO,250,Turkey,2.2,,300.0,,,MEPS-NZ2003-electric,GreenGlo 300D,,AS/NZS 4692.1:2005,AS/NZS 4692.1 (2005),New Zealand,37405,Approved,0,0,3,1,Heat Exchange,,,,,Class 3,Unavailable,,
True,AS/NZS 4692.2:2005,GREENGLO,250,Turkey,2.2,,300.0,,,MEPS-NZ2003-electric,GreenGlo 300DS,,AS/NZS 4692.1:2005,AS/NZS 4692.1 (2005),New Zealand,37406,Approved,0,0,3,1,Heat Exchange,,,,,Class 3,Unavailable,,
True,AS/NZS 4692.2:2005,GREENGLO,160,Turkey,1.6,,180.0,,,MEPS-NZ2003-electric,GreenGlo 180S,,AS/NZS 4692.1:2005,AS/NZS 4692.1 (2005),New Zealand,37407,Approved,0,0,2,1,Heat Exchange,,,,,Class 3,Unavailable,,
True,AS/NZS 4692.2:2005,GREENGLO,160,Turkey,1.6,,180.0,,,MEPS-NZ2003-electric,GreenGlo 180D,,AS/NZS 4692.1:2005,AS/NZS 4692.1 (2005),New Zealand,37409,Approved,0,0,3,1,Heat Exchange,,,,,Class 3,Unavailable,,
True,AS/NZS 4692.2:2005,GREENGLO,400,Turkey,2.7,,420.0,,,MEPS-NZ2003-electric,GreenGlo 400D,,AS/NZS 4692.1:2005,AS/NZS 4692.1 (2005),New Zealand,37410,Approved,0,0,3,1,Heat Exchange,,,,,Class 3,Unavailable,,
True,AS/NZS 4692.2:2005,GREENGLO,500,Turkey,3.2,,520.0,,,MEPS-NZ2003-electric,GreenGlo 500D,,AS/NZS 4692.1:2005,AS/NZS 4692.1 (2005),New Zealand,37411,Approved,0,0,3,1,Heat Exchange,,,,,Class 3,Unavailable,,
