ApplStandard,Brand,Country,Lamp_Freq,Model No,Family Name,N-Standard,nom_len,nom_watt,Rated_CRI,Rated_IE,Rated_IL,Rated_ILW,Rated_ME,Rated_ML,Rated_MLW,Sold_in,Submit_ID,SubmitStatus,ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL,ILCOS Code,Nominal Diameter (mm)
Greenhouse and Energy Minimum Standards (Double-capped fluorescent lamps) Determination 2017,GE,China,High Frequency,FT5/21W/840/GE,FT5/21W/840/GE,AS/NZS 4782.1:2004,849.0,21.0,81.0,90.8292682926829,1862.0,20.5,77.9227053140097,1613.0,20.7,"Australia,New Zealand",115389,Approved,2023-07-10,,Class 2,Available,,,FDH-21-L/P-G5-16/850,16.0
Greenhouse and Energy Minimum Standards (Double-capped fluorescent lamps) Determination 2017,GE,China,High Frequency,61094,FT5/21W/865/GE,AS/NZS 4782.1:2004,849.0,21.0,85.0,84.4607843137255,1723.0,20.4,71.3526570048309,1477.0,20.7,"Australia,New Zealand",115391,Approved,2023-07-19,,Class 2,Available,,,FDH-21-L/P-G5-16/850,16.0
Greenhouse and Energy Minimum Standards (Double-capped fluorescent lamps) Determination 2017,GE,China,High Frequency,F21W/865/LL,FT5/21W/865/GE,AS/NZS 4782.1:2004,849.0,21.0,85.0,84.4607843137255,1723.0,20.4,71.3526570048309,1477.0,20.7,"Australia,New Zealand",115391,Approved,2023-07-19,,Class 2,Available,,,FDH-21-L/P-G5-16/850,16.0
Greenhouse and Energy Minimum Standards (Double-capped fluorescent lamps) Determination 2017,GE,China,High Frequency,FT5/21W/865/GE,FT5/21W/865/GE,AS/NZS 4782.1:2004,849.0,21.0,85.0,84.4607843137255,1723.0,20.4,71.3526570048309,1477.0,20.7,"Australia,New Zealand",115391,Approved,2023-07-19,,Class 2,Available,,,FDH-21-L/P-G5-16/850,16.0
Greenhouse and Energy Minimum Standards (Double-capped fluorescent lamps) Determination 2017,GE,China,High Frequency,61069,FT5/28W/830/GE,AS/NZS 4782.1:2004,1149.0,28.0,83.0,93.705035971223,2605.0,27.8,86.6666666666667,2418.0,27.9,"Australia,New Zealand",115397,Approved,2023-07-10,,Class 2,Available,,,FDH-28-L/P-G5-16/1150,16.0
Greenhouse and Energy Minimum Standards (Double-capped fluorescent lamps) Determination 2017,GE,China,High Frequency,61096,FT5/28W/830/GE,AS/NZS 4782.1:2004,1149.0,28.0,83.0,93.705035971223,2605.0,27.8,86.6666666666667,2418.0,27.9,"Australia,New Zealand",115397,Approved,2023-07-10,,Class 2,Available,,,FDH-28-L/P-G5-16/1150,16.0
Greenhouse and Energy Minimum Standards (Double-capped fluorescent lamps) Determination 2017,GE,China,High Frequency,F28W/830/LL,FT5/28W/830/GE,AS/NZS 4782.1:2004,1149.0,28.0,83.0,93.705035971223,2605.0,27.8,86.6666666666667,2418.0,27.9,"Australia,New Zealand",115397,Approved,2023-07-10,,Class 2,Available,,,FDH-28-L/P-G5-16/1150,16.0
Greenhouse and Energy Minimum Standards (Double-capped fluorescent lamps) Determination 2017,GE,China,High Frequency,FT5/28W/830/GE,FT5/28W/830/GE,AS/NZS 4782.1:2004,1149.0,28.0,83.0,93.705035971223,2605.0,27.8,86.6666666666667,2418.0,27.9,"Australia,New Zealand",115397,Approved,2023-07-10,,Class 2,Available,,,FDH-28-L/P-G5-16/1150,16.0
Greenhouse and Energy Minimum Standards (Double-capped fluorescent lamps) Determination 2017,GE,China,High Frequency,61100,FT5/35W/830/GE,AS/NZS 4782.1:2004,1449.0,35.0,83.0,116.474820143885,3238.0,27.8,86.9117647058823,2955.0,34.0,"Australia,New Zealand",115398,Approved,2023-07-12,,Class 4,Available,,,FDH-35-L/P-G5-16/1450,16.0
Greenhouse and Energy Minimum Standards (Double-capped fluorescent lamps) Determination 2017,GE,China,High Frequency,F35W/830/LL,FT5/35W/830/GE,AS/NZS 4782.1:2004,1449.0,35.0,83.0,116.474820143885,3238.0,27.8,86.9117647058823,2955.0,34.0,"Australia,New Zealand",115398,Approved,2023-07-12,,Class 4,Available,,,FDH-35-L/P-G5-16/1450,16.0
