"Heating.Elements","app","powerkW","adjust_temp","Gross.Store.Cap"
0,"hotwater_electric",2.64,"True",250
0,"hotwater_electric",2.64,"True",250
1,"hotwater_electric",3.33,"True",400
1,"hotwater_electric",3.33,"True",400
1,"hotwater_electric",3.33,"True",400
0,"hotwater_electric",3.13,"True",400
0,"hotwater_electric",3.13,"True",400
0,"hotwater_electric",3.13,"True",400
0,"hotwater_electric",1.73,"True",80
0,"hotwater_electric",1.73,"True",80
0,"hotwater_electric",1.73,"True",80
0,"hotwater_electric",2.01,"True",125
0,"hotwater_electric",2.01,"True",125
0,"hotwater_electric",2.01,"True",125
0,"hotwater_electric",2.22,"True",160
0,"hotwater_electric",2.22,"True",160
0,"hotwater_electric",2.22,"True",160
0,"hotwater_electric",2.01,"True",125
0,"hotwater_electric",2.01,"True",125
0,"hotwater_electric",2.01,"True",125
0,"hotwater_electric",1.73,"True",80
0,"hotwater_electric",1.73,"True",80
0,"hotwater_electric",1.73,"True",80
1,"hotwater_electric",2.84,"True",250
1,"hotwater_electric",2.84,"True",250
1,"hotwater_electric",2.84,"True",250
1,"hotwater_electric",2.42,"True",160
1,"hotwater_electric",2.42,"True",160
1,"hotwater_electric",2.42,"True",160
1,"hotwater_electric",3.12,"True",315
1,"hotwater_electric",3.12,"True",315
1,"hotwater_electric",3.12,"True",315
0,"hotwater_electric",2.01,"True",125
0,"hotwater_electric",2.01,"True",125
0,"hotwater_electric",2.01,"True",125
0,"hotwater_electric",2.92,"True",315
0,"hotwater_electric",2.92,"True",315
0,"hotwater_electric",2.92,"True",315
1,"hotwater_electric",2.84,"True",250
1,"hotwater_electric",2.84,"True",250
1,"hotwater_electric",2.84,"True",250
0,"hotwater_electric",2.64,"True",250
0,"hotwater_electric",2.64,"True",250
0,"hotwater_electric",2.64,"True",250
0,"hotwater_electric",2.92,"True",315
0,"hotwater_electric",2.92,"True",315
0,"hotwater_electric",2.92,"True",315
0,"hotwater_electric",1.73,"True",80
0,"hotwater_electric",1.73,"True",80
0,"hotwater_electric",1.73,"True",80
0,"hotwater_electric",3.13,"True",400
0,"hotwater_electric",3.13,"True",400
0,"hotwater_electric",3.13,"True",400
1,"hotwater_electric",2.84,"True",250
1,"hotwater_electric",2.84,"True",250
1,"hotwater_electric",2.84,"True",250
1,"hotwater_electric",2.42,"True",160
1,"hotwater_electric",2.42,"True",160
1,"hotwater_electric",2.42,"True",160
0,"hotwater_electric",2.693,"True",321
0,"hotwater_electric",2.266,"True",259
0,"hotwater_electric",2.266,"True",259
0,"hotwater_electric",2.266,"True",259
0,"hotwater_electric",2.266,"True",259
0,"hotwater_electric",2.266,"True",259
0,"hotwater_electric",2.266,"True",259
0,"hotwater_electric",2.832,"True",420
2,"hotwater_electric",3.32,"True",325
2,"hotwater_electric",3.32,"True",325
2,"hotwater_electric",3.32,"True",325
2,"hotwater_electric",3.32,"True",325
0,"hotwater_electric",1.24,"True",25
0,"hotwater_electric",1.24,"True",25
0,"hotwater_electric",1.24,"True",25
0,"hotwater_electric",1.24,"True",25
0,"hotwater_electric",2.22,"True",170
0,"hotwater_electric",2.22,"True",170
0,"hotwater_electric",2.22,"True",170
0,"hotwater_electric",2.22,"True",170
0,"hotwater_electric",2.22,"True",170
0,"hotwater_electric",2.22,"True",170
0,"hotwater_electric",2.22,"True",170
0,"hotwater_electric",1.28,"True",50
0,"hotwater_electric",1.745,"True",132
0,"hotwater_electric",1.745,"True",132
0,"hotwater_electric",1.745,"True",132
0,"hotwater_electric",1.745,"True",132
0,"hotwater_electric",1.745,"True",132
0,"hotwater_electric",1.745,"True",132
0,"hotwater_electric",1.745,"True",132
0,"hotwater_electric",1.745,"True",132
0,"hotwater_electric",1.745,"True",132
0,"hotwater_electric",1.745,"True",132
1,"hotwater_electric",1.24,"True",80
1,"hotwater_electric",3.05,"True",330
1,"hotwater_electric",3.05,"True",330
1,"hotwater_electric",3.05,"True",330
1,"hotwater_electric",3.05,"True",330
1,"hotwater_electric",3.05,"True",330
1,"hotwater_electric",3.05,"True",330
1,"hotwater_electric",3.05,"True",330
