"app","powerkW","star","Configuration1"
"aircon",0.75,4,"Non Ducted"
"aircon",1.235,3,"Non Ducted"
"aircon",1.235,3,"Non Ducted"
"aircon",1.235,3,"Non Ducted"
"aircon",1.235,3,"Non Ducted"
"aircon",1.655,2,"Non Ducted"
"aircon",1.655,2,"Non Ducted"
"aircon",1.655,2,"Non Ducted"
"aircon",1.655,2,"Non Ducted"
"aircon",0.565,4,"Non Ducted"
"aircon",0.565,4,"Non Ducted"
"aircon",0.565,4,"Non Ducted"
"aircon",0.565,4,"Non Ducted"
"aircon",3.205,2,"Non Ducted"
"aircon",2.475,1,"Non Ducted"
"aircon",2.815,2,"Non Ducted"
"aircon",1.94,2,"Non Ducted"
"aircon",1.94,2,"Non Ducted"
"aircon",1.94,2,"Non Ducted"
"aircon",1.94,2,"Non Ducted"
"aircon",2.375,2,"Non Ducted"
"aircon",2.375,2,"Non Ducted"
"aircon",2.375,2,"Non Ducted"
"aircon",2.375,2,"Non Ducted"
"aircon",3.205,0,"Non Ducted"
"aircon",2.29,3,"Non Ducted"
"aircon",2.29,0,"Non Ducted"
"aircon",1.83,2,"Non Ducted"
"aircon",1.55,2,"Non Ducted"
"aircon",8.781,0,"Ducted"
"aircon",8.781,0,"Ducted"
"aircon",8.781,0,"Ducted"
"aircon",12.625,0,"Ducted"
"aircon",12.625,0,"Ducted"
"aircon",12.625,0,"Ducted"
"aircon",20.325,0,"Ducted"
"aircon",20.325,0,"Ducted"
"aircon",16.886,0,"Ducted"
"aircon",16.886,0,"Ducted"
"aircon",0.655,3,"Non Ducted"
"aircon",0.555,4,"Non Ducted"
"aircon",0.86,3,"Non Ducted"
"aircon",1.44,2,"Non Ducted"
"aircon",2.04,2,"Non Ducted"
"aircon",2.325,2,"Non Ducted"
"aircon",3.19,1,"Non Ducted"
"aircon",1.32,2,"Non Ducted"
"aircon",1.68,2,"Non Ducted"
"aircon",2.065,2,"Non Ducted"
"aircon",2.075,0,"Both"
"aircon",2.75,0,"Both"
"aircon",3.5,0,"Both"
"aircon",4.275,0,"Both"
"aircon",4.75,0,"Both"
"aircon",0.63,3,"Non Ducted"
"aircon",0.63,3,"Non Ducted"
"aircon",0.63,3,"Non Ducted"
"aircon",0.88,2,"Non Ducted"
