Submit_ID,Brand_Reg,Model_No,Family Name,N-Reg_Date,N-Grandfather-Date,Reg_No,SoldIn,Country,Prod_conf,nov,pno,Apply_type_for,SubmitStatus,ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL,Input voltage (V) Max,Input voltage (V) Min,Output voltage (V) Min
95439,Atech OEM,ADS0248T-A120200,Family,2015-12-16,,APS3460,"Australia,Fiji,New Zealand",China,AC-DC,12.0,24.0,High Efficiency 2014 (Mark VI),Approved,2020-12-16,,Class 1,Available,,,240.0,100.0,12.0
95439,Atech OEM,ADS0248T-A120200L,Family,2015-12-16,,APS3460,"Australia,Fiji,New Zealand",China,AC-DC,12.0,24.0,High Efficiency 2014 (Mark VI),Approved,2020-12-16,,Class 1,Available,,,240.0,100.0,12.0
95439,Atech OEM,ADS0248T-U120200,Family,2015-12-16,,APS3460,"Australia,Fiji,New Zealand",China,AC-DC,12.0,24.0,High Efficiency 2014 (Mark VI),Approved,2020-12-16,,Class 1,Available,,,240.0,100.0,12.0
95439,Atech OEM,ADS0248T-U120200L,Family,2015-12-16,,APS3460,"Australia,Fiji,New Zealand",China,AC-DC,12.0,24.0,High Efficiency 2014 (Mark VI),Approved,2020-12-16,,Class 1,Available,,,240.0,100.0,12.0
95439,Atech OEM,Family,Family,2015-12-16,,APS3460,"Australia,Fiji,New Zealand",China,AC-DC,12.0,24.0,High Efficiency 2014 (Mark VI),Approved,2020-12-16,,Class 1,Available,,,240.0,100.0,12.0
95442,Weidayuan,WDY-24005000,,2016-07-08,,APS4314,"Australia,Fiji,New Zealand",China,AC-DC,24.0,120.0,High Efficiency 2008 (Mark IV),Approved,2021-07-08,,Class 1,Available,http://www.wedy.com.cn/,,240.0,100.0,24.0
95447,PHIHONG,PSA08S-050A,"PSM08S-050I, PSA08S-050A",2015-12-22,,APS3500,"Australia,Fiji,New Zealand",China,AC-DC,5.0,7.5,High Efficiency 2014 (Mark VI),Approved,2020-12-22,,Class 1,Available,,,240.0,100.0,5.0
95447,PHIHONG,"PSM08S-050I, PSA08S-050A","PSM08S-050I, PSA08S-050A",2015-12-22,,APS3500,"Australia,Fiji,New Zealand",China,AC-DC,5.0,7.5,High Efficiency 2014 (Mark VI),Approved,2020-12-22,,Class 1,Available,,,240.0,100.0,5.0
95447,ingenico,PSM08S-050I,"PSM08S-050I, PSA08S-050A",2015-12-22,,APS3500,"Australia,Fiji,New Zealand",China,AC-DC,5.0,7.5,High Efficiency 2014 (Mark VI),Approved,2020-12-22,,Class 1,Available,,,240.0,100.0,5.0
95447,ingenico,"PSM08S-050I, PSA08S-050A","PSM08S-050I, PSA08S-050A",2015-12-22,,APS3500,"Australia,Fiji,New Zealand",China,AC-DC,5.0,7.5,High Efficiency 2014 (Mark VI),Approved,2020-12-22,,Class 1,Available,,,240.0,100.0,5.0
